name,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19
Novum Digital Asset Alpha,972.9376667,885.8406667,2219.907,5012.416333,4868.239,6247.470333,6374.527,7179.165333,8791.673667,9536.957667,9463.781333,9924.779667,9558.842667,9565.438667
BTC / USD,1000,959.4529503,648.1181346,585.5761016,528.0522754,583.3191961,622.0364861,794.8169937,1260.151531,1311.654418,1455.237536,1453.836436,1227.543033,1394.393483
