name,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19
Novum Digital Asset Investor,0,-0.194809,-0.2445465,3.163885,3.163885,3.696004,3.65819,3.6209075,2.744318,2.739134667,2.811455333,3.157168333,4.780944667,4.813347667,4.759581333,4.899681,4.859022667,4.921831333,4.884357667,4.931451667,4.985844,4.936535667,4.941633667,7.763398,7.683221333,7.584683333,9.471841667,9.732866333,9.850027,10.82666967,10.83763267,10.81257833,10.840412,10.98762633
BTC / USD,0,0.28117734,0.115224147,0.436135075,1.450737739,1.758990852,1.995697429,3.960233816,3.714042026,5.660868337,9.74405137,14.38108173,9.980605837,10.65340403,6.486603359,9.233903388,7.047241357,5.756231122,7.888154893,6.581900954,6.173080684,5.882233425,3.649003672,3.200384624,2.787761577,3.184195658,3.461917903,4.701286425,8.039168604,8.408602968,9.438536257,9.42848606,7.805265217,9.00209696
